asset_id,asset_dir,color_texture,domain_family,quality_tier,allowed_roles,value_family,texture_scale_range,curation_notes,source_review
stone_wall_03_4k,assets/library/polyhaven/materials/stone_wall_03_4k,assets/library/polyhaven/materials/stone_wall_03_4k/textures/stone_wall_03_diff_4k.jpg,wall_stone_plain,usable_watch,"[""wall_background""]",light,"[1.8, 3.2]",plain granular stone surface; wall-only but not structured enough for core wall sampling,visual_contact_sheet_polyhaven_v2_1_pages_01_05
terrain_red_01_4k,assets/library/polyhaven/materials/terrain_red_01_4k,assets/library/polyhaven/materials/terrain_red_01_4k/textures/terrain_red_01_diff_4k.jpg,natural_red_soil,usable_watch,"[""natural_ground""]",dark,"[2.5, 5.0]",dark red terrain; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
wall_bricks_plaster_4k,assets/library/polyhaven/materials/wall_bricks_plaster_4k,assets/library/polyhaven/materials/wall_bricks_plaster_4k/textures/wall_bricks_plaster_diff_4k.jpg,wall_brick_plaster,core,"[""wall_background""]",medium,"[1.8, 3.2]",brick/plaster wall background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
white_plaster_02_4k,assets/library/polyhaven/materials/white_plaster_02_4k,assets/library/polyhaven/materials/white_plaster_02_4k/textures/white_plaster_02_diff_4k.jpg,wall_plaster_plain,usable_watch,"[""wall_background""]",light,"[1.8, 3.2]",pale plaster can wash out; wall only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
white_plaster_rough_02_4k,assets/library/polyhaven/materials/white_plaster_rough_02_4k,assets/library/polyhaven/materials/white_plaster_rough_02_4k/textures/white_plaster_rough_02_diff_4k.jpg,wall_plaster_rough,usable_watch,"[""wall_background""]",medium,"[1.8, 3.2]",greenish rough plaster; wall only with care,visual_contact_sheet_polyhaven_v2_1_pages_01_05
white_sandstone_blocks_02_4k,assets/library/polyhaven/materials/white_sandstone_blocks_02_4k,assets/library/polyhaven/materials/white_sandstone_blocks_02_4k/textures/white_sandstone_blocks_02_diff_4k.jpg,wall_stone_block,core,"[""wall_background""]",light,"[1.8, 3.2]",pale stone block wall,visual_contact_sheet_polyhaven_v2_1_pages_01_05
white_sandstone_bricks_03_4k,assets/library/polyhaven/materials/white_sandstone_bricks_03_4k,assets/library/polyhaven/materials/white_sandstone_bricks_03_4k/textures/white_sandstone_bricks_03_diff_4k.jpg,wall_stone_block,core,"[""wall_background""]",light,"[1.8, 3.2]",pale sandstone brick wall,visual_contact_sheet_polyhaven_v2_1_pages_01_05
wood_floor_4k,assets/library/polyhaven/materials/wood_floor_4k,assets/library/polyhaven/materials/wood_floor_4k/textures/wood_floor_diff_4k.jpg,support_wood_clean,core,"[""support_surface"", ""foreground_object""]",medium,"[1.6, 3.0]",wood floor/plank support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
wood_table_001_4k,assets/library/polyhaven/materials/wood_table_001_4k,assets/library/polyhaven/materials/wood_table_001_4k/textures/wood_table_001_diff_4k.jpg,support_wood_clean,core,"[""support_surface"", ""foreground_object""]",dark,"[1.6, 3.0]",table wood; good support/object,visual_contact_sheet_polyhaven_v2_1_pages_01_05
wood_table_worn_4k,assets/library/polyhaven/materials/wood_table_worn_4k,assets/library/polyhaven/materials/wood_table_worn_4k/textures/wood_table_worn_diff_4k.jpg,support_wood_worn,core,"[""support_surface"", ""foreground_object""]",dark,"[1.6, 3.0]",worn wood table; good but contrast check,visual_contact_sheet_polyhaven_v2_1_pages_01_05
yellow_bricks_4k,assets/library/polyhaven/materials/yellow_bricks_4k,assets/library/polyhaven/materials/yellow_bricks_4k/textures/yellow_bricks_diff_4k.jpg,wall_brick_light,core,"[""wall_background""]",light,"[1.8, 3.2]",yellow brick wall background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
